Date,City,Temperature_C,Condition
2026-06-12,Panipat,31.2,Partly Cloudy
2026-06-13,Panipat,38.7,Partly Cloudy
2026-06-14,Panipat,36.2,Sunny
2026-06-15,Panipat,36.6,Sunny
2026-06-16,Panipat,26.8,Cloudy
2026-06-17,Panipat,31.8,Cloudy
2026-06-18,Panipat,27.0,Rainy
2026-06-19,Panipat,30.5,Partly Cloudy
2026-06-20,Panipat,32.0,Sunny
2026-06-21,Panipat,29.4,Cloudy
2026-06-22,Panipat,32.6,Cloudy
2026-06-23,Panipat,31.6,Partly Cloudy
2026-06-24,Panipat,33.7,Sunny
2026-06-25,Panipat,28.7,Partly Cloudy
2026-06-26,Panipat,28.8,Partly Cloudy
2026-06-27,Panipat,30.8,Partly Cloudy
2026-06-28,Panipat,30.2,Cloudy
2026-06-29,Panipat,32.1,Sunny
2026-06-30,Panipat,30.8,Rainy
2026-06-01,Ambala,32.0,Sunny
2026-06-02,Ambala,26.4,Cloudy
2026-06-03,Ambala,26.7,Partly Cloudy
2026-06-04,Ambala,28.5,Partly Cloudy
2026-06-05,Ambala,31.2,Sunny
2026-06-06,Ambala,34.0,Partly Cloudy
2026-06-07,Ambala,32.4,Sunny
2026-06-08,Ambala,27.3,Rainy
2026-06-09,Ambala,35.3,Cloudy
2026-06-10,Ambala,28.7,Partly Cloudy
2026-06-11,Ambala,30.7,Sunny
2026-06-12,Ambala,31.1,Rainy
2026-06-13,Ambala,24.6,Sunny
2026-06-14,Ambala,27.2,Rainy
2026-06-15,Ambala,25.3,Partly Cloudy
2026-06-16,Ambala,32.1,Partly Cloudy
2026-06-17,Ambala,31.4,Cloudy
2026-06-18,Ambala,35.4,Partly Cloudy
2026-06-19,Ambala,34.5,Partly Cloudy
2026-06-20,Ambala,29.6,Partly Cloudy
2026-06-21,Ambala,25.9,Sunny
2026-06-22,Ambala,35.1,Partly Cloudy
2026-06-23,Ambala,30.7,Partly Cloudy
2026-06-24,Ambala,34.7,Sunny
2026-06-25,Ambala,31.0,Sunny
2026-06-26,Ambala,28.3,Cloudy
2026-06-27,Ambala,30.1,Partly Cloudy
2026-06-28,Ambala,26.2,Sunny
2026-06-29,Ambala,26.9,Partly Cloudy
2026-06-30,Ambala,30.4,Cloudy
2026-06-01,Sirsa,39.0,Sunny
2026-06-02,Sirsa,31.4,Rainy
2026-06-03,Sirsa,34.8,Rainy
2026-06-04,Sirsa,41.5,Partly Cloudy
2026-06-05,Sirsa,39.9,Sunny
2026-06-06,Sirsa,40.7,Cloudy
2026-06-07,Sirsa,32.8,Sunny
2026-06-08,Sirsa,42.3,Sunny
2026-06-09,Sirsa,38.6,Partly Cloudy
2026-06-10,Sirsa,29.7,Cloudy
2026-06-11,Sirsa,29.5,Rainy
2026-06-12,Sirsa,37.8,Partly Cloudy
2026-06-13,Sirsa,38.6,Rainy
2026-06-14,Sirsa,33.7,Sunny
2026-06-15,Sirsa,39.1,Sunny
2026-06-16,Sirsa,35.2,Sunny
2026-06-17,Sirsa,37.8,Sunny
2026-06-18,Sirsa,39.5,Cloudy
2026-06-19,Sirsa,35.6,Sunny
2026-06-20,Sirsa,36.3,Sunny
2026-06-21,Sirsa,33.7,Sunny
2026-06-22,Sirsa,37.4,Sunny
2026-06-23,Sirsa,33.3,Rainy
2026-06-24,Sirsa,35.9,Rainy
2026-06-25,Sirsa,40.6,Partly Cloudy
2026-06-26,Sirsa,34.8,Cloudy
2026-06-27,Sirsa,37.2,Sunny
2026-06-28,Sirsa,28.0,Rainy
2026-06-29,Sirsa,35.9,Rainy
2026-06-30,Sirsa,31.4,Rainy
