Post_ID,User,Timestamp,Hashtags,Likes,Comments,Shares,Category
164,Charlie,2026-09-02 08:23:00,#gamer #genshin,708,135,15,Gaming
165,Bob,2026-09-02 09:10:00,#rpg #gamer,1149,149,125,Gaming
166,Eve,2026-09-02 10:17:00,#college #student #study,1509,186,107,Education
167,Eve,2026-09-02 17:33:00,#hackathon #student,2047,309,30,Education
168,Charlie,2026-09-02 20:34:00,#music #art,1975,155,154,Entertainment
169,Tara,2026-09-03 12:16:00,#vibes,969,153,51,Lifestyle
170,Priya,2026-09-03 12:47:00,#learning #study,380,64,33,Education
171,Sam,2026-09-03 13:31:00,#art #comedy #movies,1992,157,34,Entertainment
172,Grace,2026-09-03 17:23:00,#workout #gym #protein,197,25,11,Fitness
173,Priya,2026-09-04 01:06:00,#rpg #setup #esports,60,5,4,Gaming
174,Neha,2026-09-04 01:06:00,#cricket #football #matchday,1062,251,157,Sports
175,Tara,2026-09-04 04:08:00,#vibes #travel #food #yum,923,20,60,Lifestyle
176,Rahul,2026-09-05 00:41:00,#yum,332,13,10,Lifestyle
177,Grace,2026-09-05 06:36:00,#daily #life,1890,92,148,Lifestyle
178,Grace,2026-09-05 07:50:00,#travel #food #vibes,2232,234,274,Lifestyle
179,David,2026-09-05 13:31:00,#fun #show #movies #music,839,159,31,Entertainment
180,Heidi,2026-09-05 15:04:00,#music #art,799,125,118,Entertainment
181,David,2026-09-05 15:23:00,#training,1520,269,58,Fitness
182,Neha,2026-09-05 16:05:00,#college,1724,313,72,Education
183,Eve,2026-09-05 19:27:00,#college,1070,96,13,Education
184,Ivan,2026-09-06 00:48:00,#gym #health,305,49,5,Fitness
185,Alice,2026-09-06 01:35:00,#learning #knowledge,2394,298,356,Education
186,Alice,2026-09-06 17:18:00,#stream #esports,1051,204,112,Gaming
187,Heidi,2026-09-07 04:04:00,#hackathon #study,1701,415,49,Education
188,james,2026-09-07 07:27:00,#linux #AI #python #dev,1471,305,95,Technology
189,Alice,2026-09-07 08:43:00,#matchday #motorsport #football #cricket,2116,358,67,Sports
190,Eve,2026-09-07 13:07:00,#dev #data,89,7,3,Technology
191,Ivan,2026-09-07 15:01:00,#training #gym #gains #fitness,1069,156,151,Fitness
192,Priya,2026-09-07 15:55:00,#comedy #music #art,396,70,50,Entertainment
193,Neha,2026-09-07 21:52:00,#music,994,138,32,Entertainment
194,Eve,2026-09-08 01:10:00,#art,2497,210,256,Entertainment
195,Sam,2026-09-09 09:59:00,#travel #vibes #life #yum,446,58,66,Lifestyle
196,Ivan,2026-09-09 14:20:00,#life #yum #vlog,2302,415,305,Lifestyle
197,Priya,2026-09-10 04:23:00,#data #linux #coding #dev,1614,351,87,Technology
198,Grace,2026-09-10 04:49:00,#workout #training #fitness,1064,52,48,Fitness
199,Bob,2026-09-10 17:01:00,#setup #rpg #gamer,793,25,12,Gaming
200,Priya,2026-09-10 23:13:00,#win #football,200,8,4,Sports
