TransactionID,AccountID,TransactionDate,TransactionAmount,TransactionCategory,PaymentMethod,Location
TXN0034,ACC1001,2026-07-11 04:40:00,107912,Shopping,UPI,Delhi
TXN0099,ACC1001,2026-07-03 19:55:00,81566,Travel,Card,Panipat
TXN0112,ACC1014,2026-07-31 08:02:00,8559,Healthcare,UPI,Hisar
TXN0063,ACC1001,2026-07-12 17:27:00,3235,Electronics,Wallet,Delhi
TXN0138,ACC1001,2026-07-09 06:11:00,17455,Transfer,Wallet,Rohtak
TXN0091,ACC1011,2026-07-30 16:17:00,89132,Travel,Wallet,Rohtak
TXN0054,ACC1002,2026-07-29 18:44:00,99857,Shopping,Net Banking,Chandigarh
TXN0006,ACC1001,2026-07-28 03:24:00,12428,Healthcare,Net Banking,Gurugram
TXN0142,ACC1019,2026-07-21 06:20:00,58109,Food,Net Banking,Hisar
TXN0111,ACC1002,2026-07-12 21:47:00,70253,Food,Wallet,Rohtak
TXN0050,ACC1017,2026-07-18 19:20:00,116162,Transfer,Card,Hisar
TXN0036,ACC1002,2026-07-29 01:57:00,3131,Healthcare,Wallet,Rohtak
TXN0081,ACC1001,2026-07-26 09:38:00,66299,Entertainment,Wallet,Chandigarh
TXN0078,ACC1001,2026-07-06 07:11:00,50350,Transfer,Wallet,Chandigarh
TXN0035,ACC1005,2026-07-18 01:53:00,69410,Travel,UPI,Chandigarh
TXN0126,ACC1001,2026-07-12 17:23:00,79643,Shopping,Net Banking,Delhi
TXN0008,ACC1009,2026-07-30 20:44:00,4762,Bills,UPI,Chandigarh
TXN0044,ACC1013,2026-07-23 09:35:00,8143,Entertainment,Wallet,Rohtak
TXN0071,ACC1004,2026-07-24 17:48:00,27090,Entertainment,UPI,Gurugram
TXN0109,ACC1008,2026-07-16 00:39:00,4799,Transfer,Net Banking,Hisar
TXN0092,ACC1016,2026-07-12 10:35:00,11180,Bills,Wallet,Gurugram
TXN0084,ACC1003,2026-07-15 08:11:00,4995,Transfer,Net Banking,Panipat
TXN0139,ACC1019,2026-07-15 21:59:00,40817,Travel,Wallet,Delhi
TXN0140,ACC1016,2026-07-15 20:19:00,2450,Entertainment,Wallet,Panipat
TXN0090,ACC1002,2026-07-16 07:29:00,7369,Food,Net Banking,Panipat
TXN0009,ACC1002,2026-07-09 02:13:00,19358,Transfer,Wallet,Hisar
TXN0014,ACC1017,2026-07-20 06:09:00,3263,Healthcare,Wallet,Delhi
TXN0060,ACC1001,2026-07-20 04:15:00,12758,Transfer,Net Banking,Chandigarh
TXN0132,ACC1003,2026-07-02 00:13:00,45144,Entertainment,Net Banking,Delhi
TXN0004,ACC1012,2026-07-28 11:38:00,2366,Electronics,UPI,Rohtak
TXN0018,ACC1001,2026-07-11 00:37:00,4737,Food,UPI,Gurugram
TXN0039,ACC1001,2026-07-27 14:22:00,18443,Shopping,Card,Panipat
TXN0073,ACC1010,2026-07-23 04:40:00,48597,Transfer,Wallet,Panipat
TXN0135,ACC1002,2026-07-01 10:10:00,3969,Electronics,UPI,Gurugram
TXN0007,ACC1009,2026-07-23 21:41:00,14980,Travel,Wallet,Panipat
TXN0124,ACC1018,2026-07-02 18:35:00,66021,Healthcare,Wallet,Hisar
TXN0101,ACC1012,2026-07-19 09:40:00,28195,Bills,Wallet,Panipat
TXN0003,ACC1001,2026-07-23 13:21:00,2476,Food,Wallet,Delhi
TXN0064,ACC1014,2026-07-31 11:40:00,16588,Entertainment,Wallet,Panipat
TXN0116,ACC1018,2026-07-09 05:07:00,7159,Healthcare,UPI,Gurugram
TXN0055,ACC1013,2026-07-28 13:34:00,78906,Bills,Net Banking,Panipat
TXN0108,ACC1002,2026-07-18 03:29:00,84362,Healthcare,UPI,Hisar
TXN0051,ACC1002,2026-07-15 08:48:00,86347,Bills,Net Banking,Panipat
TXN0127,ACC1006,2026-07-09 22:48:00,10567,Travel,Wallet,Delhi
TXN0047,ACC1010,2026-07-08 06:09:00,400,Transfer,Wallet,Hisar
TXN0128,ACC1005,2026-07-24 20:01:00,78197,Electronics,Wallet,Chandigarh
TXN0062,ACC1019,2026-07-22 12:25:00,1824,Entertainment,UPI,Rohtak
TXN0026,ACC1002,2026-07-19 23:34:00,699,Transfer,Card,Delhi
TXN0059,ACC1016,2026-07-01 23:34:00,626,Shopping,Card,Gurugram
TXN0049,ACC1008,2026-07-06 22:33:00,4005,Transfer,Card,Panipat
TXN0089,ACC1014,2026-07-03 07:53:00,70181,Entertainment,Net Banking,Panipat
TXN0022,ACC1011,2026-07-26 03:15:00,8116,Electronics,Card,Chandigarh
TXN0058,ACC1011,2026-07-07 14:20:00,48824,Electronics,Net Banking,Delhi
TXN0149,ACC1017,2026-07-25 17:53:00,5618,Electronics,Card,Gurugram
TXN0130,ACC1002,2026-07-22 02:17:00,113656,Electronics,Net Banking,Gurugram
TXN0038,ACC1011,2026-07-26 13:51:00,64168,Shopping,Wallet,Gurugram
TXN0145,ACC1018,2026-07-22 12:18:00,47904,Food,Card,Chandigarh
TXN0002,ACC1003,2026-07-07 07:32:00,14195,Transfer,Net Banking,Delhi
TXN0053,ACC1005,2026-07-23 06:04:00,111069,Shopping,Card,Panipat
TXN0131,ACC1017,2026-07-04 11:27:00,42223,Shopping,Card,Panipat
TXN0104,ACC1007,2026-07-20 08:43:00,23183,Transfer,UPI,Rohtak
TXN0100,ACC1009,2026-07-15 08:42:00,46366,Travel,UPI,Panipat
TXN0117,ACC1002,2026-07-02 04:47:00,58330,Transfer,Net Banking,Rohtak
TXN0088,ACC1015,2026-07-29 22:31:00,5472,Entertainment,UPI,Rohtak
TXN0075,ACC1003,2026-07-22 01:09:00,1422,Bills,UPI,Rohtak
TXN0122,ACC1011,2026-07-27 14:25:00,90966,Healthcare,Net Banking,Chandigarh
TXN0076,ACC1014,2026-07-20 19:50:00,99856,Transfer,Net Banking,Rohtak
TXN0021,ACC1003,2026-07-14 11:27:00,3567,Shopping,Wallet,Hisar
TXN0072,ACC1002,2026-07-08 11:11:00,43200,Shopping,UPI,Rohtak
TXN0107,ACC1015,2026-07-31 02:09:00,42161,Food,Wallet,Delhi
TXN0015,ACC1001,2026-07-30 11:56:00,2719,Food,Wallet,Delhi
TXN0093,ACC1002,2026-07-02 10:47:00,99968,Travel,Wallet,Delhi
TXN0103,ACC1019,2026-07-28 21:49:00,39870,Bills,Net Banking,Gurugram
