Date,Ticker,Sector,Shares,Buy_Price,Close_Price
2026-09-04,JPM,Financials,40,130.0,141.55
2026-09-07,JPM,Financials,40,130.0,139.59
2026-09-08,JPM,Financials,40,130.0,138.54
2026-09-09,JPM,Financials,40,130.0,138.89
2026-07-13,JNJ,Healthcare,20,160.0,158.95
2026-07-14,JNJ,Healthcare,20,160.0,155.41
2026-07-15,JNJ,Healthcare,20,160.0,155.73
2026-07-16,JNJ,Healthcare,20,160.0,153.4
2026-07-17,JNJ,Healthcare,20,160.0,154.65
2026-07-20,JNJ,Healthcare,20,160.0,152.67
2026-07-21,JNJ,Healthcare,20,160.0,156.37
2026-07-22,JNJ,Healthcare,20,160.0,154.69
2026-07-23,JNJ,Healthcare,20,160.0,154.1
2026-07-24,JNJ,Healthcare,20,160.0,156.13
2026-07-27,JNJ,Healthcare,20,160.0,153.4
2026-07-28,JNJ,Healthcare,20,160.0,154.08
2026-07-29,JNJ,Healthcare,20,160.0,157.26
2026-07-30,JNJ,Healthcare,20,160.0,153.62
2026-07-31,JNJ,Healthcare,20,160.0,154.2
2026-08-03,JNJ,Healthcare,20,160.0,154.96
2026-08-04,JNJ,Healthcare,20,160.0,156.93
2026-08-05,JNJ,Healthcare,20,160.0,154.17
2026-08-06,JNJ,Healthcare,20,160.0,151.27
2026-08-07,JNJ,Healthcare,20,160.0,152.61
2026-08-10,JNJ,Healthcare,20,160.0,153.44
2026-08-11,JNJ,Healthcare,20,160.0,154.17
2026-08-12,JNJ,Healthcare,20,160.0,155.13
2026-08-13,JNJ,Healthcare,20,160.0,153.7
2026-08-14,JNJ,Healthcare,20,160.0,154.39
2026-08-17,JNJ,Healthcare,20,160.0,155.22
2026-08-18,JNJ,Healthcare,20,160.0,153.71
2026-08-19,JNJ,Healthcare,20,160.0,158.17
2026-08-20,JNJ,Healthcare,20,160.0,159.45
2026-08-21,JNJ,Healthcare,20,160.0,156.76
2026-08-24,JNJ,Healthcare,20,160.0,158.46
2026-08-25,JNJ,Healthcare,20,160.0,156.31
2026-08-26,JNJ,Healthcare,20,160.0,158.31
2026-08-27,JNJ,Healthcare,20,160.0,161.22
2026-08-28,JNJ,Healthcare,20,160.0,159.39
2026-08-31,JNJ,Healthcare,20,160.0,161.86
2026-09-01,JNJ,Healthcare,20,160.0,163.02
2026-09-02,JNJ,Healthcare,20,160.0,165.19
2026-09-03,JNJ,Healthcare,20,160.0,170.06
2026-09-04,JNJ,Healthcare,20,160.0,169.6
2026-09-07,JNJ,Healthcare,20,160.0,167.85
2026-09-08,JNJ,Healthcare,20,160.0,165.78
2026-09-09,JNJ,Healthcare,20,160.0,163.92
2026-07-13,XOM,Energy,60,100.0,99.98
2026-07-14,XOM,Energy,60,100.0,100.6
2026-07-15,XOM,Energy,60,100.0,101.11
2026-07-16,XOM,Energy,60,100.0,102.47
2026-07-17,XOM,Energy,60,100.0,102.59
2026-07-20,XOM,Energy,60,100.0,104.93
2026-07-21,XOM,Energy,60,100.0,104.62
2026-07-22,XOM,Energy,60,100.0,108.99
2026-07-23,XOM,Energy,60,100.0,110.13
2026-07-24,XOM,Energy,60,100.0,108.82
2026-07-27,XOM,Energy,60,100.0,107.18
2026-07-28,XOM,Energy,60,100.0,108.06
2026-07-29,XOM,Energy,60,100.0,107.81
2026-07-30,XOM,Energy,60,100.0,109.07
2026-07-31,XOM,Energy,60,100.0,109.95
2026-08-03,XOM,Energy,60,100.0,109.94
2026-08-04,XOM,Energy,60,100.0,108.66
2026-08-05,XOM,Energy,60,100.0,106.3
2026-08-06,XOM,Energy,60,100.0,105.69
2026-08-07,XOM,Energy,60,100.0,107.16
2026-08-10,XOM,Energy,60,100.0,107.61
2026-08-11,XOM,Energy,60,100.0,105.7
2026-08-12,XOM,Energy,60,100.0,106.08
2026-08-13,XOM,Energy,60,100.0,106.8
2026-08-14,XOM,Energy,60,100.0,105.49
2026-08-17,XOM,Energy,60,100.0,105.84
2026-08-18,XOM,Energy,60,100.0,106.04
2026-08-19,XOM,Energy,60,100.0,104.33
2026-08-20,XOM,Energy,60,100.0,104.99
2026-08-21,XOM,Energy,60,100.0,105.98
2026-08-24,XOM,Energy,60,100.0,107.81
2026-08-25,XOM,Energy,60,100.0,109.62
2026-08-26,XOM,Energy,60,100.0,107.47
2026-08-27,XOM,Energy,60,100.0,106.06
2026-08-28,XOM,Energy,60,100.0,106.99
2026-08-31,XOM,Energy,60,100.0,107.92
2026-09-01,XOM,Energy,60,100.0,108.86
2026-09-02,XOM,Energy,60,100.0,115.26
2026-09-03,XOM,Energy,60,100.0,116.36
2026-09-04,XOM,Energy,60,100.0,118.46
2026-09-07,XOM,Energy,60,100.0,120.27
2026-09-08,XOM,Energy,60,100.0,121.57
2026-09-09,XOM,Energy,60,100.0,121.12
